"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","priority_queue_size","lp_invocations","plan_cost","configuration"
"89","easy_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,117944,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"90","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,13629,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"91","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,81,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"92","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"93","easy_opt","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,1506665,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"94","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"95","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,820583,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"96","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,1168341,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"97","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,15,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"98","easy_opt","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,964976,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
